Pathogen Species,GA,species,GA,size,gc,genes
Avipoxvirus flamingo/KD09/ZAF,0,Avipoxvirus flamingo/KD09/ZAF,,,,
Avipoxvirus flamingo/PT-29021/Portugal/2010,0,Avipoxvirus flamingo/PT-29021/Portugal/2010,,,,
Avipoxvirus great tit/ER-2008/CZE,0,Avipoxvirus great tit/ER-2008/CZE,,,,
Avipoxvirus isolate 1739/2006,0,Avipoxvirus isolate 1739/2006,,,,
Avipoxvirus isolate 2634/1998,0,Avipoxvirus isolate 2634/1998,,,,
Avipoxvirus isolate APIII,0,Avipoxvirus isolate APIII,,,,
Avipoxvirus isolate Alaska,0,Avipoxvirus isolate Alaska,,,,
Avipoxvirus isolate Antarctica,0,Avipoxvirus isolate Antarctica,,,,
Avipoxvirus isolate Argentina,0,Avipoxvirus isolate Argentina,,,,
Avipoxvirus isolate Arizona,,Avipoxvirus isolate Arizona,,,,
Avipoxvirus isolate Belgium,0,Avipoxvirus isolate Belgium,,,,
Avipoxvirus isolate California,0,Avipoxvirus isolate California,,,,
Avipoxvirus isolate Cca/07,0,Avipoxvirus isolate Cca/07,,,,
Avipoxvirus isolate Cch/07,0,Avipoxvirus isolate Cch/07,,,,
Avipoxvirus isolate Chile,0,Avipoxvirus isolate Chile,,,,
Avipoxvirus isolate Colorado,0,Avipoxvirus isolate Colorado,,,,
Avipoxvirus isolate DD1258,0,Avipoxvirus isolate DD1258,,,,
Avipoxvirus isolate Florida,0,Avipoxvirus isolate Florida,,,,
Avipoxvirus isolate Galapagos Islands,,Avipoxvirus isolate Galapagos Islands,,,,
Avipoxvirus isolate Georgia,0,Avipoxvirus isolate Georgia,,,,
Avipoxvirus isolate Hawaii,0,Avipoxvirus isolate Hawaii,,,,
Avipoxvirus isolate Hungary,0,Avipoxvirus isolate Hungary,,,,
Avipoxvirus isolate ID8501092,0,Avipoxvirus isolate ID8501092,,,,
Avipoxvirus isolate ID8964,0,Avipoxvirus isolate ID8964,,,,
Avipoxvirus isolate Illinois,0,Avipoxvirus isolate Illinois,,,,
Avipoxvirus isolate Maryland,0,Avipoxvirus isolate Maryland,,,,
Avipoxvirus isolate Massachusetts,0,Avipoxvirus isolate Massachusetts,,,,
Avipoxvirus isolate Midway Islands,0,Avipoxvirus isolate Midway Islands,,,,
Avipoxvirus isolate Minnesota,0,Avipoxvirus isolate Minnesota,,,,
Avipoxvirus isolate Mississippi,0,Avipoxvirus isolate Mississippi,,,,
Avipoxvirus isolate Montana,0,Avipoxvirus isolate Montana,,,,
Avipoxvirus isolate Nevada,0,Avipoxvirus isolate Nevada,,,,
Avipoxvirus isolate New York,0,Avipoxvirus isolate New York,,,,
Avipoxvirus isolate Oregon,0,Avipoxvirus isolate Oregon,,,,
Avipoxvirus isolate PM33/2007,0,Avipoxvirus isolate PM33/2007,,,,
Avipoxvirus isolate PM34/2007,0,Avipoxvirus isolate PM34/2007,,,,
Avipoxvirus isolate PM9/2007,0,Avipoxvirus isolate PM9/2007,,,,
Avipoxvirus isolate Pat/07,0,Avipoxvirus isolate Pat/07,,,,
Avipoxvirus isolate Pennsylvania,0,Avipoxvirus isolate Pennsylvania,,,,
Avipoxvirus isolate Sat/07,0,Avipoxvirus isolate Sat/07,,,,
Avipoxvirus isolate Sevilla,0,Avipoxvirus isolate Sevilla,,,,
Avipoxvirus isolate South Korea,0,Avipoxvirus isolate South Korea,,,,
Avipoxvirus isolate Spain,0,Avipoxvirus isolate Spain,,,,
Avipoxvirus isolate Texas,0,Avipoxvirus isolate Texas,,,,
Avipoxvirus isolate United Kingdom,0,Avipoxvirus isolate United Kingdom,,,,
Avipoxvirus isolate Utah,0,Avipoxvirus isolate Utah,,,,
Avipoxvirus isolate Vienna,0,Avipoxvirus isolate Vienna,,,,
Avipoxvirus isolate Washington,0,Avipoxvirus isolate Washington,,,,
Avipoxvirus isolate Washington DC,0,Avipoxvirus isolate Washington DC,,,,
Avipoxvirus isolate Wisconsin,0,Avipoxvirus isolate Wisconsin,,,,
Avipoxvirus isolate the Netherlands,0,Avipoxvirus isolate the Netherlands,,,,
Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,0,Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,,,,
Avipoxvirus penguin/AP/ARG/2007,0,Avipoxvirus penguin/AP/ARG/2007,,,,
Avipoxvirus pigeon/CAPM V-101/CZE/1965,0,Avipoxvirus pigeon/CAPM V-101/CZE/1965,,,,
Avipoxvirus sp.,,Avipoxvirus sp.,GCA_033951315.1,113506.0,31,108
Avipoxvirus strain Elsharqyia_PGPV,0,Avipoxvirus strain Elsharqyia_PGPV,,,,
Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,0,Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,,,,
Avipoxvirus wood pigeon/ER-2008/CZE,0,Avipoxvirus wood pigeon/ER-2008/CZE,,,,
Avisivirus A,GCF_002816595.1,Avisivirus A,GCF_002816595.1,7373.0,45,1
Avisivirus AVE052/AsV,0,Avisivirus AVE052/AsV,GCA_031171275.1,7342.0,46,
Avisivirus B,GCF_000924115.1,Avisivirus B,GCF_000924115.1,7310.0,48.5,1
Avisivirus C,GCF_000923475.1,Avisivirus C,GCF_000923475.1,7167.0,45,1
Avisivirus Pf-CHK1/AsV,GCF_001502795.1,Avisivirus Pf-CHK1/AsV,GCF_001502795.1,7270.0,45.5,1
Avisivirus sp.,,Avisivirus sp.,,,,
Avocet calicivirus,0,Avocet calicivirus,,,,
Avocet megrivirus,0,Avocet megrivirus,,,,
Avocet picornavirus,0,Avocet picornavirus,,,,
Avocet picornavirus B,0,Avocet picornavirus B,,,,
Avon-Heathcote Estuary associated circular virus 25,,Avon-Heathcote Estuary associated circular virus 25,GCF_000954435.1,2142.0,42,2
Avulavirus sp.,,Avulavirus sp.,,,,
Baku virus,0,Baku virus,,,,
Balagodu virus,0,Balagodu virus,GCF_029887365.1,12557.0,36.5,3
Bald eagle hepacivirus,0,Bald eagle hepacivirus,GCA_031193265.1,11013.0,47,
Bald eagle poxvirus,0,Bald eagle poxvirus,,,,
Balleny virus,0,Balleny virus,,,,
Bandavirus dabieense,,Bandavirus dabieense,,,,
Bardin virus,0,Bardin virus,,,,
Bavaria virus,GCF_001963095.1,Bavaria virus,GCF_001963095.1,8176.0,54,2
Bavovirus sp.,,Bavovirus sp.,,,,
BeAn 157575 virus,0,BeAn 157575 virus,,,,
Belem virus,GCF_029887655.1,Belem virus,GCF_029887655.1,12765.0,35.5,4
Bellingshausen virus,0,Bellingshausen virus,,,,
Bengalese munia circovirus,,Bengalese munia circovirus,,,,
Betacoronavirus 1,0,Betacoronavirus 1,,,,
Bird calicivirus,,Bird calicivirus,,,,
Bird parvovirus,,Bird parvovirus,,,,
Birnavirus sp.,0,Birnavirus sp.,,,,
Biscoe virus,0,Biscoe virus,,,,
Blackbird arilivirus,GCF_004132805.1,Blackbird arilivirus,GCF_004132805.1,9228.0,48,2
Blackbird siadenovirus,,Blackbird siadenovirus,,,,
Blencathra virus,,Blencathra virus,,,,
Blue tit circovirus,0,Blue tit circovirus,,,,
Blue tit hepacivirus,,Blue tit hepacivirus,,,,
Bobaya virus,,Bobaya virus,GCF_029888205.1,12536.0,36,3
Bonasa bonasia parvoviridae sp.,,Bonasa bonasia parvoviridae sp.,,,,
Borchgrevink virus,0,Borchgrevink virus,,,,
Bransfield virus,0,Bransfield virus,,,,
Brazilian bird anellovirus type 1,0,Brazilian bird anellovirus type 1,,,,
Brazilian bird anellovirus type 2,0,Brazilian bird anellovirus type 2,,,,
Brazilian bird anellovirus type 3,0,Brazilian bird anellovirus type 3,,,,
Brazilian penguinpox virus,0,Brazilian penguinpox virus,,,,
British Admiral virus,,British Admiral virus,,,,
Bruce virus,0,Bruce virus,,,,
Bruthen virus,,Bruthen virus,,,,
Bubo bubo herpesvirus,0,Bubo bubo herpesvirus,,,,
Budgerigar adenovirus 1,0,Budgerigar adenovirus 1,,,,
Buffalo Bayou virus,0,Buffalo Bayou virus,,,,
Bulbul coronavirus HKU11,GCF_002816215.1,Bulbul coronavirus HKU11,GCF_002816215.1,26487.0,38.5,9
Buldecovirus sp.,,Buldecovirus sp.,,,,
Burhinus oedicnemus herpesvirus,,Burhinus oedicnemus herpesvirus,,,,
Buteo buteo herpesvirus,,Buteo buteo herpesvirus,,,,
Byrd virus,0,Byrd virus,,,,
CRESS DNA virus,,CRESS DNA virus,,,,
Cacatuid alphaherpesvirus 1,0,Cacatuid alphaherpesvirus 1,,,,
Cacatuid alphaherpesvirus 2,GCF_027939225.1,Cacatuid alphaherpesvirus 2,GCF_027939225.1,141537.0,46,79
Caliciviridae sp.,,Caliciviridae sp.,,,,
Calicivirus chicken/V0013/Bayern/2004,0,Calicivirus chicken/V0013/Bayern/2004,,,,
Calicivirus chicken/V0021/Bayern/2004,GCF_004786895.1,Calicivirus chicken/V0021/Bayern/2004,GCF_004786895.1,7908.0,54,2
Calicivirus chicken/V0027/Bayern/2004,0,Calicivirus chicken/V0027/Bayern/2004,,,,
Calonectris borealis alphaherpesvirus,,Calonectris borealis alphaherpesvirus,,,,
Canada goose coronavirus,GCF_012271745.1,Canada goose coronavirus,GCF_012271745.1,28539.0,38.5,16
Canary chaphamaparvovirus 1,,Canary chaphamaparvovirus 1,,,,
Canary chaphamaparvovirus 2,,Canary chaphamaparvovirus 2,,,,
Canary dependoparvovirus 1,,Canary dependoparvovirus 1,,,,
Canary dependoparvovirus 2,,Canary dependoparvovirus 2,,,,
Canarypox virus,,Canarypox virus,GCF_000841685.1,359853.0,30.5,328
Cape sugarbird pox virus,0,Cape sugarbird pox virus,,,,
Carnarvon virus,,Carnarvon virus,,,,
Carpodacus sibiricus Genomoviridae sp.,,Carpodacus sibiricus Genomoviridae sp.,,,,
Carpodacus sibiricus parvoviridae sp.,,Carpodacus sibiricus parvoviridae sp.,,,,
Cataraqui virus,,Cataraqui virus,,,,
Caudoviricetes sp.,,Caudoviricetes sp.,GCA_003657725.1,419387.0,27.5,
Cecropis daurica CRESS-DNA-virus sp.,,Cecropis daurica CRESS-DNA-virus sp.,,,,
Cecropis daurica Genomoviridae sp.,,Cecropis daurica Genomoviridae sp.,,,,
Cecropis daurica parvoviridae sp.,,Cecropis daurica parvoviridae sp.,,,,
Chaphamaparvovirus anseriform 7,,Chaphamaparvovirus anseriform 7,,,,
Chaphamaparvovirus anseriform 8,,Chaphamaparvovirus anseriform 8,,,,
Chaphamaparvovirus anseriform 9,,Chaphamaparvovirus anseriform 9,,,,
Chaphamaparvovirus anseriform1,GCF_029885285.1,Chaphamaparvovirus anseriform1,GCF_029885285.1,4382.0,40.5,4
Chaphamaparvovirus anseriform2,GCF_029885295.1,Chaphamaparvovirus anseriform2,GCF_029885295.1,4302.0,39.5,4
Chaphamaparvovirus anseriform3,GCF_029885305.1,Chaphamaparvovirus anseriform3,GCF_029885305.1,4387.0,39,4
Chaphamaparvovirus anseriform4,GCF_029885275.1,Chaphamaparvovirus anseriform4,GCF_029885275.1,4323.0,39,4
Chaphamaparvovirus anseriform5,GCF_029885885.1,Chaphamaparvovirus anseriform5,GCF_029885885.1,4231.0,41,4
Chaphamaparvovirus anseriform6,GCF_029885895.1,Chaphamaparvovirus anseriform6,GCF_029885895.1,4087.0,41,4
Chaphamaparvovirus avian1,0,Chaphamaparvovirus avian1,,,,
Chaphamaparvovirus galliform1,GCF_013087235.1,Chaphamaparvovirus galliform1,GCF_013087235.1,3539.0,40,2
Chaphamaparvovirus galliform2,GCF_013087825.1,Chaphamaparvovirus galliform2,GCF_013087825.1,4432.0,39.5,2
Chaphamaparvovirus galliform3,GCF_013087285.1,Chaphamaparvovirus galliform3,GCF_013087285.1,3661.0,39.5,1
Chaphamaparvovirus galliform4,GCF_018587365.1,Chaphamaparvovirus galliform4,GCF_018587365.1,4428.0,42.5,3
Chaphamaparvovirus galliform5,GCF_018587395.1,Chaphamaparvovirus galliform5,GCF_018587395.1,4348.0,42,3
Chaphamaparvovirus gruiform1,0,Chaphamaparvovirus gruiform1,,,,
Chaphamaparvovirus gruiform2,0,Chaphamaparvovirus gruiform2,,,,
Chaphamaparvovirus gruiform3,0,Chaphamaparvovirus gruiform3,,,,
Chaphamaparvovirus gruiform4,0,Chaphamaparvovirus gruiform4,,,,
Chaphamaparvovirus gyb-MR3/2015/HUN,,Chaphamaparvovirus gyb-MR3/2015/HUN,,,,
Chaphamaparvovirus psittacine1,GCF_018587825.1,Chaphamaparvovirus psittacine1,GCF_018587825.1,4116.0,42.5,3
Chaphamaparvovirus sp.,,Chaphamaparvovirus sp.,,,,
Chaphamaparvovirus strigiform1,GCF_029885625.1,Chaphamaparvovirus strigiform1,GCF_029885625.1,4219.0,41,3
Chapparvovirus sp.,0,Chapparvovirus sp.,GCA_031176495.1,4181.0,34.5,
Charcot virus,0,Charcot virus,,,,
Chatham orthoreovirus,0,Chatham orthoreovirus,GCA_031528425.1,23498.0,48,
Chestnut teal aalivirus,,Chestnut teal aalivirus,,,,
Chestnut teal astrovirus,,Chestnut teal astrovirus,,,,
Chestnut teal chaphamaparvovirus,,Chestnut teal chaphamaparvovirus,,,,
Chestnut teal chaphamaparvovirus 1,,Chestnut teal chaphamaparvovirus 1,GCF_029885285.1,4382.0,40.5,4
Chestnut teal chaphamaparvovirus 2,,Chestnut teal chaphamaparvovirus 2,GCF_029885295.1,4302.0,39.5,4
Chestnut teal chaphamaparvovirus 3,,Chestnut teal chaphamaparvovirus 3,GCF_029885305.1,4387.0,39,4
Chestnut teal megrivirus,,Chestnut teal megrivirus,,,,
Chestnut teal sicinivirus-like virus,,Chestnut teal sicinivirus-like virus,,,,
Chicken associated smacovirus,GCF_003963755.1,Chicken associated smacovirus,GCF_003963755.1,2343.0,40,2
Chicken astrovirus,,Chicken astrovirus,GCF_000852205.1,6927.0,46.5,2
Chicken astrovirus 2,0,Chicken astrovirus 2,,,,
Chicken chapparvovirus 1,0,Chicken chapparvovirus 1,,,,
Chicken circovirus 2,0,Chicken circovirus 2,GCA_031201085.1,2001.0,34.5,2
Chicken circovirus 3,0,Chicken circovirus 3,,,,
Chicken circovirus 4,0,Chicken circovirus 4,GCA_031198535.1,2031.0,31,2
Chicken circovirus 5,0,Chicken circovirus 5,GCA_031198515.1,1936.0,43.5,2
Chicken circovirus SDWF,0,Chicken circovirus SDWF,GCA_031185315.1,1911.0,37,2
Chicken cyclovirus mg4_1122,0,Chicken cyclovirus mg4_1122,GCA_031200465.1,1847.0,42.5,
Chicken cyclovirus mg5_2967,0,Chicken cyclovirus mg5_2967,GCA_031200475.1,1902.0,49.5,
Chicken cyclovirus mg7_102,0,Chicken cyclovirus mg7_102,GCA_031200485.1,1910.0,49.5,
Chicken enteric coronavirus,0,Chicken enteric coronavirus,,,,
Chicken gallivirus 1,0,Chicken gallivirus 1,,,,
Chicken genomovirus,,Chicken genomovirus,,,,
Chicken genomovirus mg2_274u,0,Chicken genomovirus mg2_274u,GCA_031200365.1,2206.0,50,
Chicken genomovirus mg2_75,0,Chicken genomovirus mg2_75,GCA_031200375.1,2144.0,49,
Chicken genomovirus mg2_77,0,Chicken genomovirus mg2_77,GCA_031200385.1,2127.0,50.5,
Chicken genomovirus mg4_1107,0,Chicken genomovirus mg4_1107,GCA_031200395.1,2270.0,51,
Chicken genomovirus mg4_1196,0,Chicken genomovirus mg4_1196,GCA_031200405.1,2191.0,49.5,
Chicken genomovirus mg4_1210,0,Chicken genomovirus mg4_1210,GCA_031200415.1,2180.0,50.5,
Chicken genomovirus mg4_1259,0,Chicken genomovirus mg4_1259,GCA_031200425.1,2145.0,50,
Chicken genomovirus mg7_70,0,Chicken genomovirus mg7_70,GCA_031200435.1,2236.0,54,
Chicken genomovirus mg7_74,0,Chicken genomovirus mg7_74,GCA_031200445.1,2182.0,50.5,
Chicken genomovirus mg8_416,0,Chicken genomovirus mg8_416,GCA_031200455.1,2161.0,49,
Chicken parvovirus 109/HRV/2009,0,Chicken parvovirus 109/HRV/2009,,,,
Chicken parvovirus 347/HUN/2008,0,Chicken parvovirus 347/HUN/2008,,,,
Chicken parvovirus 348/HUN/2008,0,Chicken parvovirus 348/HUN/2008,,,,
Chicken parvovirus 399/HRV/2010,0,Chicken parvovirus 399/HRV/2010,,,,
Chicken parvovirus 404/HRV/2010,0,Chicken parvovirus 404/HRV/2010,,,,
Chicken parvovirus 458/HRV/2010,0,Chicken parvovirus 458/HRV/2010,,,,
Chicken parvovirus 478/HRV/2010,0,Chicken parvovirus 478/HRV/2010,,,,
Chicken parvovirus 528/HUN/2009,0,Chicken parvovirus 528/HUN/2009,,,,
Chicken parvovirus 5B8/2009,0,Chicken parvovirus 5B8/2009,,,,
Chicken parvovirus 92/HRV/2009,0,Chicken parvovirus 92/HRV/2009,,,,
Chicken parvovirus A1/HUN/2009,0,Chicken parvovirus A1/HUN/2009,,,,
Chicken parvovirus ABU/HUN/2009,0,Chicken parvovirus ABU/HUN/2009,,,,
Chicken parvovirus B1/HUN/2009,0,Chicken parvovirus B1/HUN/2009,,,,
Chicken parvovirus Ch1514/2007/HUN,0,Chicken parvovirus Ch1514/2007/HUN,,,,
Chicken parvovirus Ch1515/2007/HUN,0,Chicken parvovirus Ch1515/2007/HUN,,,,
Chicken parvovirus Ch189/2009/HUN,0,Chicken parvovirus Ch189/2009/HUN,,,,
Chicken parvovirus Ch538/2009/HUN,0,Chicken parvovirus Ch538/2009/HUN,,,,
Chicken parvovirus Ch5596_10/2010/HUN,0,Chicken parvovirus Ch5596_10/2010/HUN,,,,
Chicken parvovirus Ch5596_13/2010/HUN,0,Chicken parvovirus Ch5596_13/2010/HUN,,,,
Chicken parvovirus Ch5596_18/2010/HUN,0,Chicken parvovirus Ch5596_18/2010/HUN,,,,
Chicken parvovirus Ch5596_7/2010/HUN,0,Chicken parvovirus Ch5596_7/2010/HUN,,,,
Chicken parvovirus Ch841_3/2009/HUN,0,Chicken parvovirus Ch841_3/2009/HUN,,,,
Chicken parvovirus Ch852/2009/HUN,0,Chicken parvovirus Ch852/2009/HUN,,,,
Chicken parvovirus Ch_114_10,0,Chicken parvovirus Ch_114_10,,,,
Chicken parvovirus Cro/Glog/2010,0,Chicken parvovirus Cro/Glog/2010,,,,
Chicken picobirnavirus,GCF_004117635.1,Chicken picobirnavirus,GCF_004117635.1,4232.0,45,4
Chicken picornavirus,0,Chicken picornavirus,,,,
Chicken picornavirus 1,GCF_000923455.1,Chicken picornavirus 1,GCF_000923455.1,8287.0,55.5,1
Chicken picornavirus 4,GCF_000922415.1,Chicken picornavirus 4,GCF_000922415.1,9564.0,44.5,1
Chicken picornavirus HK-2014,0,Chicken picornavirus HK-2014,,,,
Chicken picornavirus UCC13,0,Chicken picornavirus UCC13,,,,
Chicken proventricular necrosis virus,,Chicken proventricular necrosis virus,,,,
Chicken proventriculitis virus,0,Chicken proventriculitis virus,,,,
Chicken proventriculitis-associated circular virus 1,,Chicken proventriculitis-associated circular virus 1,GCA_031268925.1,1858.0,46,2
Chicken proventriculitis-associated circular virus 10,,Chicken proventriculitis-associated circular virus 10,GCA_031269125.1,3843.0,30.5,2
Chicken proventriculitis-associated circular virus 11,,Chicken proventriculitis-associated circular virus 11,GCA_031269185.1,4890.0,35,3
Chicken proventriculitis-associated circular virus 12,,Chicken proventriculitis-associated circular virus 12,,,,
Chicken proventriculitis-associated circular virus 14,,Chicken proventriculitis-associated circular virus 14,GCA_031269325.1,1654.0,47,2
Chicken proventriculitis-associated circular virus 15,,Chicken proventriculitis-associated circular virus 15,GCA_031269375.1,1787.0,44,2
Chicken proventriculitis-associated circular virus 16,,Chicken proventriculitis-associated circular virus 16,GCA_031269445.1,1697.0,47.5,2
Chicken proventriculitis-associated circular virus 17,,Chicken proventriculitis-associated circular virus 17,GCA_031269455.1,1181.0,41.5,3
Chicken proventriculitis-associated circular virus 18,,Chicken proventriculitis-associated circular virus 18,GCA_031269495.1,1031.0,40.5,2
Chicken proventriculitis-associated circular virus 19,,Chicken proventriculitis-associated circular virus 19,GCA_031269555.1,3167.0,41.5,3
Chicken proventriculitis-associated circular virus 2,,Chicken proventriculitis-associated circular virus 2,GCA_031268945.1,1623.0,46.5,2
Chicken proventriculitis-associated circular virus 20,,Chicken proventriculitis-associated circular virus 20,GCA_031269585.1,1411.0,44.5,2
Chicken proventriculitis-associated circular virus 21,,Chicken proventriculitis-associated circular virus 21,GCA_031269625.1,1813.0,43,3
Chicken proventriculitis-associated circular virus 22,,Chicken proventriculitis-associated circular virus 22,GCA_031269695.1,1852.0,40,2
Chicken proventriculitis-associated circular virus 23,,Chicken proventriculitis-associated circular virus 23,GCA_031269715.1,1866.0,43,2
Chicken proventriculitis-associated circular virus 24,,Chicken proventriculitis-associated circular virus 24,GCA_031269745.1,1793.0,46,2
Chicken proventriculitis-associated circular virus 26,,Chicken proventriculitis-associated circular virus 26,GCA_031269805.1,1948.0,48.5,3
Chicken proventriculitis-associated circular virus 27,,Chicken proventriculitis-associated circular virus 27,GCA_031269835.1,1953.0,41,1
Chicken proventriculitis-associated circular virus 28,,Chicken proventriculitis-associated circular virus 28,GCA_031269855.1,1830.0,45,3
Chicken proventriculitis-associated circular virus 29,,Chicken proventriculitis-associated circular virus 29,GCA_031269885.1,1726.0,48,3
Chicken proventriculitis-associated circular virus 3,,Chicken proventriculitis-associated circular virus 3,GCA_031269005.1,2070.0,39,2
Chicken proventriculitis-associated circular virus 30,,Chicken proventriculitis-associated circular virus 30,GCA_031269975.1,3345.0,50,4
Chicken proventriculitis-associated circular virus 4,,Chicken proventriculitis-associated circular virus 4,GCA_031269055.1,1240.0,38.5,1
Chicken proventriculitis-associated circular virus 5,,Chicken proventriculitis-associated circular virus 5,GCA_031269085.1,1531.0,42.5,2
Chicken proventriculitis-associated circular virus 7,,Chicken proventriculitis-associated circular virus 7,GCA_031269215.1,1894.0,44,2
Chicken proventriculitis-associated circular virus 8,,Chicken proventriculitis-associated circular virus 8,GCA_031269265.1,1931.0,42.5,2
Chicken proventriculitis-associated circular virus 9,,Chicken proventriculitis-associated circular virus 9,GCA_031269305.1,1809.0,42.5,2
Chicken smacovirus mg2_55,0,Chicken smacovirus mg2_55,GCA_031200495.1,2452.0,54.5,
Chicken smacovirus mg5_1444,0,Chicken smacovirus mg5_1444,GCA_031200505.1,2394.0,50,
Chicken smacovirus mg6_1052,0,Chicken smacovirus mg6_1052,GCA_031200515.1,2574.0,51.5,
Chicken smacovirus mg7_57,0,Chicken smacovirus mg7_57,GCA_031200525.1,2573.0,52,
Chicken smacovirus mg8_345,0,Chicken smacovirus mg8_345,GCA_031200595.1,2405.0,50.5,
Chicken stool associated circular virus 1,GCF_003729875.1,Chicken stool associated circular virus 1,GCF_003729875.1,3173.0,48,2
Chicken stool associated circular virus 2,GCF_003729855.1,Chicken stool associated circular virus 2,GCF_003729855.1,3161.0,48,2
Chicken stool-associated circular virus,GCF_001968175.1,Chicken stool-associated circular virus,GCF_001968175.1,4668.0,43.5,3
Chicken virus mg4_1578,0,Chicken virus mg4_1578,GCA_031200215.1,1933.0,33,
Chicken virus mg4_2302,0,Chicken virus mg4_2302,GCA_031200225.1,1690.0,47.5,
Chicken virus mg4_280,0,Chicken virus mg4_280,GCA_031200255.1,1934.0,38,
Chicken virus mg4_657,0,Chicken virus mg4_657,GCA_031200265.1,2863.0,41.5,
Chicken virus mg5_1345,0,Chicken virus mg5_1345,GCA_031200275.1,2443.0,50,
Chicken virus mg5_2197,0,Chicken virus mg5_2197,GCA_031200285.1,2093.0,44.5,
Chicken virus mg5_2676,0,Chicken virus mg5_2676,GCA_031200295.1,1962.0,38,
Chicken virus mg6_1197,0,Chicken virus mg6_1197,GCA_031200305.1,2455.0,50.5,
Chicken virus mg6_2056,0,Chicken virus mg6_2056,GCA_031200315.1,1977.0,36.5,
Chicken virus mg7_41u,0,Chicken virus mg7_41u,GCA_031200325.1,2163.0,50,
Chicken virus mg7_59,0,Chicken virus mg7_59,GCA_031200335.1,2543.0,51,
Chicken virus mg8_273,0,Chicken virus mg8_273,GCA_031200345.1,2862.0,41.5,
Chicken virus mg8_324,0,Chicken virus mg8_324,GCA_031200355.1,2539.0,51,
Chimeric virus 14,,Chimeric virus 14,GCF_001021315.1,3141.0,40,2
Chimney swift adenovirus 1,0,Chimney swift adenovirus 1,,,,
Chinstrap penguin adenovirus 1,0,Chinstrap penguin adenovirus 1,,,,
Chinstrap penguin adenovirus 3,0,Chinstrap penguin adenovirus 3,,,,
Chinstrap penguin adenovirus 4,0,Chinstrap penguin adenovirus 4,,,,
Chinstrap penguin adenovirus 5,0,Chinstrap penguin adenovirus 5,,,,
Chinstrap penguin adenovirus 6,0,Chinstrap penguin adenovirus 6,,,,
Chinstrap penguin adenovirus 7,0,Chinstrap penguin adenovirus 7,,,,
Chinstrap penguin adenovirus 8,0,Chinstrap penguin adenovirus 8,,,,
Chloris chloris herpesvirus,,Chloris chloris herpesvirus,,,,
Christensen virus,0,Christensen virus,,,,
Chrysolophus pictus CRESS-DNA-virus sp.,,Chrysolophus pictus CRESS-DNA-virus sp.,,,,
Chrysolophuspictus parvoviridae sp.,,Chrysolophuspictus parvoviridae sp.,,,,
Chuviridae sp.,,Chuviridae sp.,,,,
Ciconia boyciana CRESS-DNA-virus sp.,,Ciconia boyciana CRESS-DNA-virus sp.,,,,
Ciconia boyciana Circoviridae sp.,,Ciconia boyciana Circoviridae sp.,,,,
Ciconia boyciana parvo-like hybrid virus,,Ciconia boyciana parvo-like hybrid virus,,,,
Ciconia boyciana parvoviridae sp.,,Ciconia boyciana parvoviridae sp.,,,,
Ciconiid herpesvirus 1,,Ciconiid herpesvirus 1,,,,
Circoviridae TaCV1,0,Circoviridae TaCV1,GCA_003389855.1,3398.0,33,
Circoviridae TaCV2,0,Circoviridae TaCV2,GCA_003389875.1,2967.0,33,
Circoviridae sp.,0,Circoviridae sp.,GCF_003656925.1,2780.0,40.5,2
Circovirus NG_chicken17,0,Circovirus NG_chicken17,,,,
Circovirus NG_chicken20,0,Circovirus NG_chicken20,,,,
Circovirus NG_chicken21,0,Circovirus NG_chicken21,,,,
Circovirus NG_chicken25,0,Circovirus NG_chicken25,,,,
Circovirus NG_chicken33,0,Circovirus NG_chicken33,,,,
Circovirus NG_chicken38,0,Circovirus NG_chicken38,,,,
Circovirus NG_chicken39,0,Circovirus NG_chicken39,,,,
Circovirus NG_chicken5,0,Circovirus NG_chicken5,,,,
Circovirus canary,GCF_000846785.1,Circovirus canary,GCF_000846785.1,1952.0,51.5,4
Circovirus duck,GCF_000864045.1,Circovirus duck,GCF_000864045.1,1991.0,51,4
Circovirus finch,GCF_000869525.1,Circovirus finch,GCF_000869525.1,1962.0,54.5,3
Circovirus goose,GCF_000837325.1,Circovirus goose,GCF_000837325.1,1821.0,49,4
Circovirus gull,GCF_000870205.1,Circovirus gull,GCF_000870205.1,2035.0,51,3
Circovirus parrot,,Circovirus parrot,,,,
Circovirus penguin,GCF_018587745.1,Circovirus penguin,GCF_018587745.1,1988.0,50,2
Circovirus pigeon,GCF_000843885.1,Circovirus pigeon,GCF_000843885.1,2037.0,55.5,5
Circovirus raven,GCF_000869425.1,Circovirus raven,GCF_000869425.1,1898.0,51.5,2
Circovirus sp.,,Circovirus sp.,GCA_004043995.1,2288.0,53,2
Circovirus starling,GCF_000868125.1,Circovirus starling,GCF_000868125.1,2063.0,50.5,3
Circovirus swan,GCF_000925255.1,Circovirus swan,GCF_000925255.1,1783.0,51,2
Circovirus zebrafinch,GCF_000989035.1,Circovirus zebrafinch,GCF_000989035.1,1982.0,56,4
Coelho virus,0,Coelho virus,,,,
Columba livia papillomavirus 1,,Columba livia papillomavirus 1,,,,
Columba palumbus herpesvirus,,Columba palumbus herpesvirus,,,,
